bus_id,route_no,direction,stop_name,timepoint,arrival_time,departure_time,boarded,alighted,occupancy_after,dwell_time_s,headway_s,is_peak
144D_1027_R2,144,inbound,Maradana,0,2025-10-27 18:35:50,2025-10-27 18:36:52,10,7,61,62,353,1
103F_1027_R2,103,outbound,Pettah,0,2025-10-27 08:03:44,2025-10-27 08:05:18,21,6,51,94,575,1
171I_1027_R1,171,inbound,Rajagiriya,0,2025-10-27 18:40:59,2025-10-27 18:42:04,8,10,55,65,417,1
171D_1030_R1,171,outbound,Punchi Borella,0,2025-10-30 19:06:49,2025-10-30 19:07:51,17,1,73,62,343,0
144B_1026_R2,144,outbound,Cotta Road,0,2025-10-26 08:45:49,2025-10-26 08:47:17,15,11,58,88,413,1
144H_1031_R1,144,outbound,Punchi Borella,0,2025-10-31 08:25:38,2025-10-31 08:26:38,12,7,39,60,425,1
171G_1030_R1,171,outbound,Cotta Road,0,2025-10-30 18:11:13,2025-10-30 18:12:20,5,14,88,67,496,1
144A_1027_R2,144,outbound,Cotta Road,0,2025-10-27 06:23:38,2025-10-27 06:24:23,1,10,33,45,437,0
103B_1029_R2,103,outbound,Maradana,0,2025-10-29 18:32:38,2025-10-29 18:34:11,20,7,35,93,472,1
103B_1027_R1,103,outbound,Pettah,0,2025-10-27 10:44:48,2025-10-27 10:45:30,14,2,34,42,400,0
171E_1028_R1,171,inbound,Battaramulla,0,2025-10-28 17:01:29,2025-10-28 17:02:05,6,4,33,36,271,1
103H_1026_R2,103,outbound,Maradana,0,2025-10-26 08:10:04,2025-10-26 08:10:47,9,5,37,43,478,1
144E_1029_R1,144,outbound,Borella,1,2025-10-29 06:33:03,2025-10-29 06:34:06,9,8,48,63,585,0
171G_1031_R2,171,inbound,Punchi Borella,0,2025-10-31 17:30:44,2025-10-31 17:31:33,10,4,87,49,586,1
103J_1025_R2,103,inbound,Maradana,1,2025-10-25 08:08:43,2025-10-25 08:09:55,18,6,90,72,261,1
171F_1026_R1,171,inbound,Koswatta,1,2025-10-26 17:20:00,2025-10-26 17:21:18,16,6,33,78,256,1
144D_1031_R2,144,outbound,Fort,1,2025-10-31 06:25:00,2025-10-31 06:25:51,6,4,30,51,536,0
171G_1026_R1,171,outbound,Battaramulla,0,2025-10-26 19:38:02,2025-10-26 19:38:45,5,8,54,43,447,0
144H_1031_R1,144,outbound,Cotta Road,0,2025-10-31 08:39:14,2025-10-31 08:40:20,12,5,51,66,425,1
103J_1025_R1,103,outbound,Borella,0,2025-10-25 19:03:37,2025-10-25 19:04:28,7,7,69,51,429,0
171F_1028_R1,171,outbound,Fort,1,2025-10-28 16:19:00,2025-10-28 16:19:51,10,3,25,51,455,1
144C_1030_R1,144,outbound,Borella,1,2025-10-30 10:35:59,2025-10-30 10:36:59,16,3,53,60,480,0
171E_1027_R2,171,outbound,Cotta Road,0,2025-10-27 12:24:57,2025-10-27 12:25:47,9,6,63,50,400,0
171G_1029_R1,171,outbound,Fort,1,2025-10-29 08:22:00,2025-10-29 08:22:41,10,3,13,41,548,1
103F_1028_R2,103,outbound,Punchi Borella,1,2025-10-28 12:47:19,2025-10-28 12:48:04,6,6,35,45,612,0
103B_1029_R1,103,outbound,Pettah,0,2025-10-29 16:49:25,2025-10-29 16:50:58,23,6,32,93,371,1
171E_1029_R2,171,inbound,Battaramulla,0,2025-10-29 10:18:09,2025-10-29 10:18:57,13,3,23,48,443,0
171H_1028_R1,171,inbound,Pettah,0,2025-10-28 21:17:13,2025-10-28 21:18:02,9,3,74,49,427,0
171J_1030_R2,171,outbound,Koswatta,1,2025-10-30 20:02:06,2025-10-30 20:03:06,7,10,42,60,673,0
171B_1029_R1,171,outbound,Cotta Road,0,2025-10-29 06:42:07,2025-10-29 06:43:12,9,5,58,65,681,0
103E_1026_R1,103,outbound,Narahenpita,1,2025-10-26 13:22:23,2025-10-26 13:22:57,2,4,41,34,557,0
103H_1030_R1,103,outbound,Pettah,0,2025-10-30 18:09:48,2025-10-30 18:11:14,18,3,54,86,537,1
171E_1031_R2,171,inbound,Technical Junction,0,2025-10-31 14:55:45,2025-10-31 14:56:46,7,9,65,61,586,0
144D_1028_R2,144,outbound,Maradana,0,2025-10-28 08:29:38,2025-10-28 08:31:06,24,4,55,88,480,1
171J_1031_R2,171,outbound,Fort,1,2025-10-31 16:26:00,2025-10-31 16:27:16,16,5,22,76,270,1
103D_1029_R2,103,inbound,Punchi Borella,0,2025-10-29 07:55:56,2025-10-29 07:56:50,14,4,48,54,466,1
144D_1029_R1,144,inbound,Maradana,0,2025-10-29 17:48:44,2025-10-29 17:50:10,8,13,80,86,518,1
103E_1028_R2,103,inbound,Maradana,1,2025-10-28 08:11:41,2025-10-28 08:13:19,24,10,38,98,464,1
144H_1031_R2,144,outbound,Maradana,0,2025-10-31 09:53:27,2025-10-31 09:54:27,9,7,36,60,395,0
144D_1031_R2,144,outbound,Maradana,0,2025-10-31 06:30:33,2025-10-31 06:31:42,12,7,35,69,536,0
103D_1028_R1,103,outbound,Narahenpita,1,2025-10-28 21:15:57,2025-10-28 21:16:46,4,5,51,49,428,0
103F_1031_R1,103,outbound,Narahenpita,1,2025-10-31 07:28:48,2025-10-31 07:29:57,13,9,65,69,485,1
144D_1027_R1,144,outbound,Rajagiriya,1,2025-10-27 17:51:24,2025-10-27 17:51:53,5,5,59,29,563,1
171B_1031_R2,171,inbound,Battaramulla,0,2025-10-31 07:58:20,2025-10-31 07:59:05,11,4,22,45,376,1
171F_1027_R1,171,outbound,Cotta Road,0,2025-10-27 11:01:59,2025-10-27 11:02:42,7,3,47,43,443,0
103D_1026_R2,103,inbound,Narahenpita,1,2025-10-26 18:29:00,2025-10-26 18:29:56,14,4,31,56,363,1
103C_1029_R1,103,outbound,Punchi Borella,1,2025-10-29 09:42:03,2025-10-29 09:42:37,3,3,17,34,287,0
144F_1025_R1,144,inbound,Borella,0,2025-10-25 07:26:22,2025-10-25 07:28:07,25,6,63,105,666,1
144G_1025_R1,144,outbound,Cotta Road,0,2025-10-25 08:39:43,2025-10-25 08:40:24,4,7,35,41,459,1
171F_1029_R1,171,inbound,Battaramulla,0,2025-10-29 09:43:21,2025-10-29 09:43:57,8,3,28,36,502,0
171E_1029_R2,171,inbound,Maradana,0,2025-10-29 10:50:07,2025-10-29 10:50:48,1,6,52,41,443,0
171D_1031_R1,171,inbound,Welikada,0,2025-10-31 10:29:12,2025-10-31 10:30:00,9,4,34,48,445,0
144D_1027_R1,144,outbound,Fort,1,2025-10-27 17:26:00,2025-10-27 17:27:05,14,8,29,65,563,1
144A_1031_R1,144,inbound,Rajagiriya,1,2025-10-31 17:39:00,2025-10-31 17:39:42,9,4,31,42,591,1
171H_1025_R1,171,outbound,Fort,1,2025-10-25 16:18:00,2025-10-25 16:19:02,10,5,15,62,541,1
171A_1025_R2,171,inbound,Maradana,0,2025-10-25 20:22:21,2025-10-25 20:23:08,10,6,77,47,453,0
171E_1025_R2,171,inbound,Battaramulla,0,2025-10-25 06:10:06,2025-10-25 06:10:56,10,4,31,50,508,0
171J_1026_R2,171,outbound,Cotta Road,0,2025-10-26 10:22:54,2025-10-26 10:23:28,7,5,62,34,481,0
103F_1028_R1,103,inbound,Borella,0,2025-10-28 19:48:11,2025-10-28 19:48:56,12,2,27,45,240,0
171D_1028_R1,171,inbound,Technical Junction,0,2025-10-28 06:40:28,2025-10-28 06:41:15,5,7,84,47,494,0
171H_1026_R1,171,inbound,Rajagiriya,0,2025-10-26 10:50:46,2025-10-26 10:51:25,9,2,42,39,588,0
103E_1025_R1,103,inbound,Punchi Borella,0,2025-10-25 07:46:27,2025-10-25 07:47:36,11,7,44,69,503,1
144I_1031_R1,144,inbound,Maradana,0,2025-10-31 08:37:58,2025-10-31 08:38:33,6,1,85,35,324,1
144I_1029_R1,144,outbound,Fort,1,2025-10-29 19:23:00,2025-10-29 19:23:46,5,4,13,46,507,0
171G_1028_R1,171,inbound,Technical Junction,0,2025-10-28 19:23:39,2025-10-28 19:24:31,8,5,71,52,444,0
171H_1031_R1,171,outbound,Maradana,0,2025-10-31 10:58:07,2025-10-31 10:58:56,11,3,44,49,224,0
171H_1029_R2,171,inbound,Borella,1,2025-10-29 08:36:05,2025-10-29 08:37:11,13,8,86,66,363,1
144D_1028_R1,144,outbound,Cotta Road,0,2025-10-28 17:50:57,2025-10-28 17:51:31,8,2,62,34,496,1
103A_1030_R1,103,outbound,Narahenpita,1,2025-10-30 17:05:04,2025-10-30 17:05:44,7,3,42,40,180,1
171E_1027_R2,171,outbound,Rajagiriya,0,2025-10-27 12:30:36,2025-10-27 12:31:14,7,7,63,38,400,0
171E_1031_R2,171,inbound,Punchi Borella,0,2025-10-31 14:47:26,2025-10-31 14:48:13,9,5,66,47,586,0
171J_1025_R2,171,outbound,Welikada,0,2025-10-25 08:36:46,2025-10-25 08:38:11,12,10,124,85,410,1
144D_1030_R1,144,outbound,Borella,1,2025-10-30 10:31:54,2025-10-30 10:32:53,15,2,48,59,459,0
171C_1027_R2,171,inbound,Rajagiriya,0,2025-10-27 20:43:11,2025-10-27 20:44:08,13,3,31,57,296,0
171D_1031_R1,171,inbound,Technical Junction,0,2025-10-31 10:50:29,2025-10-31 10:51:00,6,1,73,31,445,0
144A_1026_R1,144,inbound,Maradana,0,2025-10-26 18:56:55,2025-10-26 18:58:01,10,6,65,66,654,1
103E_1028_R2,103,inbound,Pettah,0,2025-10-28 08:17:45,2025-10-28 08:18:25,0,7,31,40,464,1
171E_1026_R1,171,inbound,Punchi Borella,0,2025-10-26 07:18:06,2025-10-26 07:19:08,13,6,75,62,430,1
171C_1029_R2,171,outbound,Maradana,0,2025-10-29 07:07:56,2025-10-29 07:08:41,9,5,48,45,514,1
103D_1030_R1,103,outbound,Narahenpita,1,2025-10-30 19:19:09,2025-10-30 19:20:02,9,8,75,53,393,0
144I_1028_R1,144,inbound,Punchi Borella,1,2025-10-28 19:10:59,2025-10-28 19:12:09,16,5,65,70,493,0
103C_1028_R2,103,outbound,Narahenpita,1,2025-10-28 19:06:34,2025-10-28 19:07:15,6,6,53,41,247,0
144I_1031_R2,144,inbound,Fort,1,2025-10-31 09:20:47,2025-10-31 09:21:17,5,6,32,30,400,0
103F_1028_R1,103,inbound,Pettah,0,2025-10-28 20:00:56,2025-10-28 20:01:47,3,10,40,51,240,0
171E_1025_R1,171,inbound,Fort,1,2025-10-25 09:42:53,2025-10-25 09:43:42,6,7,79,49,283,0
103D_1026_R1,103,inbound,Narahenpita,1,2025-10-26 10:07:00,2025-10-26 10:07:46,8,3,8,46,440,0
171C_1031_R1,171,outbound,Rajagiriya,0,2025-10-31 10:21:18,2025-10-31 10:22:17,5,8,75,59,366,0
171D_1029_R2,171,inbound,Welikada,0,2025-10-29 07:36:16,2025-10-29 07:37:23,17,4,59,67,492,1
103H_1031_R1,103,outbound,Maradana,0,2025-10-31 10:31:32,2025-10-31 10:32:31,13,4,46,59,375,0
171C_1026_R2,171,outbound,Welikada,0,2025-10-26 17:40:19,2025-10-26 17:41:13,11,5,65,54,335,1
171F_1026_R1,171,outbound,Battaramulla,0,2025-10-26 20:06:54,2025-10-26 20:07:42,8,6,69,48,720,0
171D_1030_R1,171,outbound,Koswatta,1,2025-10-30 19:39:24,2025-10-30 19:40:25,7,10,77,61,343,0
103C_1029_R2,103,outbound,Fort,1,2025-10-29 07:40:00,2025-10-29 07:40:57,12,5,35,57,831,1
103F_1029_R1,103,outbound,Punchi Borella,1,2025-10-29 17:55:00,2025-10-29 17:55:54,8,8,46,54,370,1
103B_1029_R2,103,outbound,Punchi Borella,1,2025-10-29 18:36:01,2025-10-29 18:37:32,20,11,44,91,472,1
171F_1031_R1,171,outbound,Borella,1,2025-10-31 18:09:21,2025-10-31 18:10:38,16,10,87,77,478,1
144I_1028_R1,144,inbound,Borella,0,2025-10-28 19:07:38,2025-10-28 19:08:43,14,6,54,65,493,0
144B_1027_R2,144,inbound,Cotta Road,0,2025-10-27 14:24:03,2025-10-27 14:25:13,17,3,35,70,504,0
144B_1026_R1,144,outbound,Punchi Borella,0,2025-10-26 08:41:24,2025-10-26 08:42:21,13,4,46,57,488,1
103F_1025_R1,103,outbound,Narahenpita,1,2025-10-25 11:15:43,2025-10-25 11:16:23,7,2,36,40,180,0
103G_1027_R1,103,inbound,Fort,1,2025-10-27 12:41:31,2025-10-27 12:42:30,9,7,43,59,330,0
171I_1030_R2,171,inbound,Technical Junction,0,2025-10-30 07:59:33,2025-10-30 08:00:22,7,8,72,49,637,1
171E_1025_R2,171,inbound,Cotta Road,0,2025-10-25 06:26:39,2025-10-25 06:27:17,6,1,45,38,508,0
144B_1031_R1,144,outbound,Maradana,0,2025-10-31 08:59:46,2025-10-31 09:01:03,20,4,57,77,455,1
103I_1026_R2,103,outbound,Pettah,0,2025-10-26 08:34:58,2025-10-26 08:35:58,16,4,52,60,433,1
103E_1031_R1,103,outbound,Borella,0,2025-10-31 07:09:53,2025-10-31 07:10:38,9,5,48,45,436,1
171I_1031_R1,171,outbound,Punchi Borella,0,2025-10-31 07:31:47,2025-10-31 07:32:56,20,3,73,69,397,1
103D_1028_R1,103,inbound,Borella,0,2025-10-28 07:38:51,2025-10-28 07:40:19,20,6,67,88,429,1
103G_1025_R1,103,inbound,Pettah,0,2025-10-25 12:55:23,2025-10-25 12:56:22,9,8,58,59,356,0
171F_1028_R1,171,inbound,Punchi Borella,0,2025-10-28 11:16:38,2025-10-28 11:17:15,3,8,58,37,337,0
171J_1031_R2,171,inbound,Rajagiriya,0,2025-10-31 08:06:03,2025-10-31 08:07:09,13,4,50,66,434,1
144I_1027_R1,144,inbound,Punchi Borella,1,2025-10-27 16:20:11,2025-10-27 16:21:29,17,8,54,78,369,1
144I_1026_R1,144,inbound,Maradana,0,2025-10-26 09:41:17,2025-10-26 09:41:57,4,5,37,40,588,0
171E_1026_R1,171,outbound,Borella,1,2025-10-26 06:57:31,2025-10-26 06:58:25,10,4,60,54,425,0
103I_1031_R1,103,outbound,Borella,0,2025-10-31 17:15:39,2025-10-31 17:16:25,5,7,55,46,389,1
171I_1027_R1,171,inbound,Pettah,0,2025-10-27 19:14:19,2025-10-27 19:15:03,8,3,75,44,417,0
103B_1028_R1,103,inbound,Fort,1,2025-10-28 09:45:58,2025-10-28 09:46:45,5,7,54,47,483,0
144G_1028_R1,144,inbound,Fort,1,2025-10-28 10:21:45,2025-10-28 10:22:25,8,6,38,40,404,0
103D_1027_R1,103,outbound,Borella,0,2025-10-27 08:52:44,2025-10-27 08:53:52,12,8,87,68,571,1
171B_1028_R2,171,inbound,Pettah,0,2025-10-28 10:52:35,2025-10-28 10:53:19,7,6,61,44,700,0
144C_1028_R2,144,outbound,Maradana,0,2025-10-28 17:27:28,2025-10-28 17:29:01,26,5,46,93,344,1
144D_1030_R1,144,outbound,Fort,1,2025-10-30 10:19:00,2025-10-30 10:19:41,8,1,15,41,459,0
103E_1031_R2,103,inbound,Pettah,0,2025-10-31 08:00:41,2025-10-31 08:01:36,7,9,45,55,416,1
171C_1029_R2,171,outbound,Borella,1,2025-10-29 07:17:02,2025-10-29 07:18:16,17,7,71,74,514,1
144F_1028_R1,144,inbound,Punchi Borella,1,2025-10-28 17:34:38,2025-10-28 17:35:36,14,6,62,58,611,1
171I_1028_R1,171,inbound,Maradana,0,2025-10-28 08:07:47,2025-10-28 08:08:56,8,8,90,69,459,1
171E_1031_R2,171,inbound,Pettah,0,2025-10-31 14:59:24,2025-10-31 15:00:16,8,8,65,52,586,0
103B_1031_R2,103,outbound,Narahenpita,1,2025-10-31 10:41:55,2025-10-31 10:42:47,7,4,50,52,609,0
144C_1026_R1,144,outbound,Borella,1,2025-10-26 09:43:56,2025-10-26 09:44:54,9,8,28,58,420,0
144H_1027_R2,144,inbound,Maradana,0,2025-10-27 10:15:49,2025-10-27 10:16:37,9,7,42,48,501,0
171D_1026_R2,171,inbound,Borella,1,2025-10-26 17:07:30,2025-10-26 17:08:48,18,5,91,78,370,1
144B_1029_R1,144,outbound,Punchi Borella,0,2025-10-29 19:16:57,2025-10-29 19:17:36,9,2,46,39,694,0
171H_1025_R1,171,outbound,Koswatta,1,2025-10-25 17:12:12,2025-10-25 17:13:06,13,2,66,54,541,1
171E_1025_R1,171,inbound,Welikada,0,2025-10-25 09:08:48,2025-10-25 09:09:53,11,4,53,65,283,0
171B_1028_R2,171,inbound,Fort,1,2025-10-28 10:59:09,2025-10-28 10:59:53,4,4,61,44,700,0
171G_1029_R2,171,outbound,Punchi Borella,0,2025-10-29 08:40:59,2025-10-29 08:41:56,10,6,51,57,715,1
171I_1026_R1,171,outbound,Punchi Borella,0,2025-10-26 09:41:13,2025-10-26 09:42:25,19,5,73,72,476,0
103H_1025_R1,103,outbound,Borella,0,2025-10-25 06:58:50,2025-10-25 06:59:30,7,2,33,40,639,0
171D_1028_R1,171,inbound,Maradana,0,2025-10-28 06:35:48,2025-10-28 06:36:17,5,5,86,29,494,0
103J_1031_R1,103,inbound,Narahenpita,1,2025-10-31 16:45:00,2025-10-31 16:46:16,15,4,31,76,485,1
171G_1027_R1,171,outbound,Maradana,0,2025-10-27 20:11:55,2025-10-27 20:12:27,4,3,44,32,382,0
171E_1027_R1,171,inbound,Welikada,0,2025-10-27 07:23:04,2025-10-27 07:24:14,17,5,34,70,532,1
171E_1029_R1,171,outbound,Cotta Road,0,2025-10-29 09:10:29,2025-10-29 09:11:21,8,8,88,52,376,0
103J_1028_R1,103,outbound,Fort,1,2025-10-28 08:49:00,2025-10-28 08:50:23,20,6,30,83,512,1
171H_1026_R1,171,inbound,Battaramulla,0,2025-10-26 10:37:51,2025-10-26 10:38:50,14,2,30,59,588,0
144J_1026_R2,144,outbound,Punchi Borella,0,2025-10-26 11:00:29,2025-10-26 11:01:18,13,3,33,49,468,0
103D_1025_R1,103,inbound,Punchi Borella,0,2025-10-25 06:20:58,2025-10-25 06:21:46,7,4,29,48,561,0
171C_1030_R1,171,inbound,Koswatta,1,2025-10-30 20:28:00,2025-10-30 20:29:08,14,6,40,68,508,0
144E_1030_R1,144,outbound,Punchi Borella,0,2025-10-30 10:24:29,2025-10-30 10:25:25,12,3,46,56,626,0
171G_1025_R1,171,outbound,Welikada,0,2025-10-25 07:25:16,2025-10-25 07:26:11,10,8,58,55,519,1
171D_1028_R2,171,outbound,Rajagiriya,0,2025-10-28 09:46:31,2025-10-28 09:47:21,2,12,50,50,399,0
171H_1031_R1,171,outbound,Pettah,0,2025-10-31 10:46:43,2025-10-31 10:47:28,12,1,30,45,224,0
171E_1030_R1,171,inbound,Rajagiriya,0,2025-10-30 08:12:59,2025-10-30 08:13:37,8,4,36,38,342,1
103C_1030_R1,103,inbound,Borella,0,2025-10-30 06:07:49,2025-10-30 06:08:17,5,2,39,28,390,0
103J_1031_R2,103,outbound,Fort,1,2025-10-31 20:09:00,2025-10-31 20:09:30,6,2,21,30,302,0
171B_1026_R2,171,outbound,Technical Junction,0,2025-10-26 12:20:02,2025-10-26 12:20:47,12,2,57,45,570,0
171J_1028_R1,171,outbound,Borella,1,2025-10-28 18:02:24,2025-10-28 18:03:17,9,6,64,53,340,1
144C_1031_R1,144,inbound,Fort,1,2025-10-31 09:07:46,2025-10-31 09:08:32,9,7,60,46,497,0
144D_1025_R1,144,outbound,Maradana,0,2025-10-25 14:33:20,2025-10-25 14:34:14,11,5,40,54,507,0
171C_1029_R1,171,outbound,Pettah,0,2025-10-29 07:39:22,2025-10-29 07:40:43,23,4,36,81,596,1
144C_1027_R1,144,outbound,Maradana,0,2025-10-27 16:15:37,2025-10-27 16:16:54,20,7,20,77,481,1
171D_1029_R2,171,inbound,Battaramulla,0,2025-10-29 07:31:33,2025-10-29 07:32:39,16,2,46,66,492,1
144E_1025_R1,144,inbound,Borella,0,2025-10-25 20:24:49,2025-10-25 20:25:48,14,3,41,59,528,0
171I_1030_R1,171,outbound,Fort,1,2025-10-30 08:46:00,2025-10-30 08:46:36,9,3,23,36,284,1
171D_1029_R2,171,inbound,Koswatta,1,2025-10-29 07:23:00,2025-10-29 07:23:52,11,2,32,52,492,1
103F_1028_R2,103,inbound,Narahenpita,1,2025-10-28 16:57:00,2025-10-28 16:58:07,19,2,36,67,390,1
103I_1025_R1,103,outbound,Punchi Borella,1,2025-10-25 19:22:42,2025-10-25 19:23:29,0,7,39,47,467,0
171A_1029_R1,171,inbound,Koswatta,1,2025-10-29 16:39:00,2025-10-29 16:39:57,10,4,24,57,428,1
171C_1029_R2,171,inbound,Maradana,0,2025-10-29 10:19:53,2025-10-29 10:20:43,8,8,71,50,424,0
103F_1031_R1,103,inbound,Maradana,1,2025-10-31 17:20:29,2025-10-31 17:21:36,7,11,26,67,489,1
171B_1028_R1,171,outbound,Maradana,0,2025-10-28 07:43:49,2025-10-28 07:44:46,12,4,41,57,492,1
103F_1026_R1,103,inbound,Punchi Borella,0,2025-10-26 18:23:02,2025-10-26 18:24:26,20,5,61,84,245,1
144I_1026_R2,144,outbound,Cotta Road,0,2025-10-26 15:03:35,2025-10-26 15:04:19,6,3,29,44,396,0
171D_1026_R1,171,outbound,Pettah,0,2025-10-26 17:51:29,2025-10-26 17:52:10,11,0,42,41,529,1
103F_1030_R1,103,inbound,Fort,1,2025-10-30 07:56:00,2025-10-30 07:57:02,8,9,39,62,520,1
171C_1026_R1,171,inbound,Punchi Borella,0,2025-10-26 06:50:12,2025-10-26 06:50:50,4,4,81,38,504,0
171C_1027_R2,171,inbound,Koswatta,1,2025-10-27 20:30:00,2025-10-27 20:30:37,8,0,8,37,296,0
171B_1028_R2,171,inbound,Battaramulla,0,2025-10-28 10:10:30,2025-10-28 10:11:08,7,4,34,38,700,0
144C_1027_R1,144,inbound,Borella,0,2025-10-27 18:25:54,2025-10-27 18:27:00,16,3,49,66,769,1
171E_1027_R1,171,inbound,Technical Junction,0,2025-10-27 07:53:31,2025-10-27 07:54:17,7,7,64,46,532,1
171J_1031_R1,171,inbound,Punchi Borella,0,2025-10-31 18:10:45,2025-10-31 18:11:38,7,7,67,53,528,1
144D_1027_R1,144,outbound,Maradana,0,2025-10-27 17:28:47,2025-10-27 17:29:45,13,5,37,58,563,1
171J_1025_R1,171,inbound,Cotta Road,0,2025-10-25 18:05:10,2025-10-25 18:06:17,17,3,69,67,513,1
144A_1028_R1,144,inbound,Fort,1,2025-10-28 12:28:41,2025-10-28 12:29:25,5,7,53,44,615,0
171I_1029_R2,171,inbound,Fort,1,2025-10-29 19:04:22,2025-10-29 19:04:45,3,6,54,23,288,0
144F_1029_R1,144,inbound,Fort,1,2025-10-29 19:32:38,2025-10-29 19:33:15,4,3,39,37,385,0
171E_1031_R1,171,outbound,Technical Junction,0,2025-10-31 17:06:04,2025-10-31 17:07:10,19,3,46,66,553,1
103J_1031_R1,103,outbound,Borella,0,2025-10-31 18:05:33,2025-10-31 18:06:53,10,11,58,80,430,1
103I_1029_R2,103,inbound,Pettah,0,2025-10-29 17:04:38,2025-10-29 17:05:28,11,3,84,50,613,1
171B_1026_R1,171,outbound,Technical Junction,0,2025-10-26 16:35:16,2025-10-26 16:36:42,25,3,71,86,451,1
171G_1029_R1,171,inbound,Battaramulla,0,2025-10-29 08:28:08,2025-10-29 08:29:15,14,3,44,67,466,1
171J_1031_R1,171,outbound,Koswatta,1,2025-10-31 12:54:09,2025-10-31 12:54:50,4,10,56,41,522,0
103J_1025_R2,103,outbound,Punchi Borella,1,2025-10-25 20:55:23,2025-10-25 20:56:05,6,7,33,42,414,0
144E_1028_R1,144,outbound,Punchi Borella,0,2025-10-28 17:14:34,2025-10-28 17:15:50,14,7,50,76,521,1
171J_1028_R1,171,outbound,Maradana,0,2025-10-28 17:51:10,2025-10-28 17:52:11,10,4,48,61,340,1
103B_1030_R1,103,outbound,Fort,1,2025-10-30 07:07:00,2025-10-30 07:08:20,24,2,37,80,344,1
103G_1029_R1,103,inbound,Maradana,1,2025-10-29 08:31:09,2025-10-29 08:31:52,11,4,54,43,221,1
171B_1025_R1,171,outbound,Borella,1,2025-10-25 09:48:42,2025-10-25 09:49:53,13,9,57,71,616,0
144G_1029_R1,144,inbound,Cotta Road,0,2025-10-29 06:07:13,2025-10-29 06:07:56,11,4,17,43,180,0
171E_1025_R1,171,outbound,Battaramulla,0,2025-10-25 10:55:26,2025-10-25 10:56:07,6,6,44,41,700,0
144A_1027_R2,144,outbound,Fort,1,2025-10-27 06:01:00,2025-10-27 06:02:16,18,4,25,76,437,0
103F_1031_R1,103,outbound,Fort,1,2025-10-31 07:02:00,2025-10-31 07:03:10,19,3,40,70,485,1
171I_1027_R2,171,outbound,Koswatta,1,2025-10-27 18:04:20,2025-10-27 18:05:25,14,6,58,65,577,1
144I_1028_R2,144,outbound,Rajagiriya,1,2025-10-28 08:26:26,2025-10-28 08:27:43,10,12,64,77,787,1
103D_1029_R2,103,inbound,Fort,1,2025-10-29 08:11:41,2025-10-29 08:12:50,7,11,54,69,466,1
